	Maurer Item	DWA Item	Maurer Phontype	DWA Phontype	Maurer Lextype	DWA Lextype	Maurer kumuliert	DWA kumuliert	Differenz	Mean	StDev	Maurer Mean + 1 Std (68%)	Maurer Mean + 2 Std (95%)	Maurer Mean + 3 Std (99%)	DWA Mean + 1 Std (68%)	DWA Mean + 2 Std (95%)	DWA Mean + 3 Std (99%)
Ameise	7489	6923	4051	4291	2934	2653	14474	13867	4.19 %	34962.25	21075.703593788137	x	.	.	.	x	.
Begräbnis	22160	22964	22029	22895	22630	23584	66819	69443	3.78 %	34962.25	21075.703593788137	.	x	.	.	x	.
Deichsel	8068	7647	10003	10133	168	287	18239	18067	0.94 %	34962.25	21075.703593788137	x	.	.	x	.	.
Elster	11102	10204	10472	10319	9939	9477	31513	30000	4.8 %	34962.25	21075.703593788137	x	.	.	x	.	.
Fledermaus	6888	6013	4716	4469	915	1002	12519	11484	8.27 %	34962.25	21075.703593788137	.	x	.	.	x	.
Gurke	12984	13180	13009	13231	11564	11781	37557	38192	1.66 %	34962.25	21075.703593788137	x	.	.	x	.	.
Hagebutte	9614	9154	7661	7503	7337	7046	24612	23703	3.69 %	34962.25	21075.703593788137	x	.	.	x	.	.
Hebamme	5599	4964	4682	4453	685	711	10966	10128	7.64 %	34962.25	21075.703593788137	.	x	.	.	x	.
Kartoffel	14776	15659	14696	15818	16369	17630	45841	49107	6.65 %	34962.25	21075.703593788137	x	.	.	x	.	.
Maulwurf	16513	16389	16088	16034	15005	15055	47606	47478	0.27 %	34962.25	21075.703593788137	x	.	.	x	.	.
Pflaume	5616	5265	4475	4374	863	897	10954	10536	3.82 %	34962.25	21075.703593788137	.	x	.	.	x	.
Stecknadel	20570	19646	21887	21724	18018	17049	60475	58419	3.4 %	34962.25	21075.703593788137	.	x	.	.	x	.
Ziege	11860	11925	10740	11119	10171	10577	32771	33621	2.53 %	34962.25	21075.703593788137	x	.	.	x	.	.
Zimmerfliege	24296	24900	24531	25253	25362	26210	74189	76363	2.85 %	34962.25	21075.703593788137	.	x	.	.	x	.
Total	177535	174833	169040	171616	141960	143959	488535	490408	0.38 %	489471.5	936.5	.	x	.	.	x	.
